expected_params,output_params
"tensor([ 0.2087,  1.0000, -0.3773,  0.3751,  0.5333,  0.5620,  0.5441,  0.2279,
         0.5665,  0.5648,  0.7377,  0.8547], device='cuda:0')","tensor([[0.2335, 1.0000, 0.1039, 0.3114, 0.7334, 0.4702, 0.3008, 0.4622, 0.4480,
         0.7049, 0.8178, 0.8654]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2397,  1.0000, -0.1589,  0.2619,  0.5678,  0.5337,  0.4657,  0.2494,
         0.4299,  0.5947,  0.7461,  0.8475], device='cuda:0')","tensor([[0.3177, 1.0000, 0.0579, 0.3428, 0.6086, 0.6371, 0.4563, 0.1701, 0.5075,
         0.7964, 0.8440, 0.9155]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2346, 1.0000, 0.4347, 0.3033, 0.6431, 0.4449, 0.3655, 0.2597, 0.3927,
        0.5137, 0.7065, 0.8315], device='cuda:0')","tensor([[ 0.3261,  1.0000, -0.0580,  0.4469,  0.8515,  0.3271,  0.6882,  0.1624,
          0.5716,  0.9018,  0.9136,  0.9269]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2690, 0.9999, 0.2158, 0.2770, 0.5354, 0.5456, 0.4839, 0.2632, 0.3543,
        0.5453, 0.7342, 0.8269], device='cuda:0')","tensor([[0.3400, 1.0000, 0.1269, 0.2639, 0.5358, 0.5582, 0.2963, 0.4740, 0.2758,
         0.6356, 0.7915, 0.8728]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2559, 1.0000, 0.0813, 0.4555, 0.9046, 0.5122, 0.5430, 0.1534, 0.3161,
        0.5306, 0.6063, 0.7952], device='cuda:0')","tensor([[0.3902, 1.0000, 0.0400, 0.2801, 0.7945, 0.3498, 0.5751, 0.1533, 0.5510,
         0.6438, 0.7623, 0.8523]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2137, 1.0000, 0.8341, 0.3498, 0.5141, 0.5559, 0.5846, 0.1614, 0.2313,
        0.5364, 0.7352, 0.8443], device='cuda:0')","tensor([[ 0.2985,  1.0000, -0.1828,  0.3043,  0.6248,  0.5146,  0.5222,  0.2053,
          0.4414,  0.5014,  0.6944,  0.8019]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2501,  0.8936, -0.3728,  0.2833,  0.5592,  0.4643,  0.5106,  0.1811,
         0.4519,  0.6844,  0.8449,  0.8130], device='cuda:0')","tensor([[ 0.2749,  1.0000, -0.1120,  0.3458,  0.6730,  0.3600,  0.3799,  0.2816,
          0.5354,  0.8645,  0.8845,  0.8914]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4076, 0.0014, 0.2200, 0.2707, 0.3805, 0.7759, 0.5379, 0.2558, 0.3406,
        0.6719, 0.6942, 0.8319], device='cuda:0')","tensor([[0.3870, 0.9665, 0.1088, 0.2679, 0.5237, 0.5201, 0.3524, 0.2661, 0.3390,
         0.4981, 0.7083, 0.8298]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2726, 1.0000, 0.1213, 0.1627, 0.6452, 0.4422, 0.7402, 0.1633, 0.4610,
        0.7584, 0.9386, 0.8208], device='cuda:0')","tensor([[0.4588, 0.0018, 0.1029, 0.2164, 0.5291, 0.6723, 0.3382, 0.3917, 0.2125,
         0.5796, 0.7460, 0.8512]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.3866,  0.0015, -0.3561,  0.1800,  0.3735,  0.8066,  0.4603,  0.2150,
         0.1953,  0.5354,  0.7502,  0.8463], device='cuda:0')","tensor([[ 0.3141,  1.0000, -0.0533,  0.3337,  0.6697,  0.4265,  0.2530,  0.5516,
          0.3783,  0.7724,  0.8532,  0.9216]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2684,  0.9906, -0.1581,  0.4611,  0.6969,  0.3670,  0.6220,  0.1694,
         0.2165,  0.4751,  0.8161,  0.7996], device='cuda:0')","tensor([[ 0.2996,  1.0000, -0.2056,  0.1881,  0.4547,  0.7153,  0.2839,  0.5260,
          0.4843,  0.8405,  0.8685,  0.9473]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2260, 1.0000, 0.3607, 0.2963, 0.4921, 0.5033, 0.4563, 0.2569, 0.5301,
        0.5418, 0.7310, 0.8210], device='cuda:0')","tensor([[ 0.4292,  1.0000, -0.2325,  0.2669,  0.5096,  0.6142,  0.4517,  0.2452,
          0.4460,  0.6693,  0.7876,  0.8600]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2621, 1.0000, 0.1095, 0.2740, 0.4301, 0.6748, 0.4604, 0.2727, 0.3142,
        0.5989, 0.7548, 0.8415], device='cuda:0')","tensor([[ 0.2384,  1.0000, -0.0878,  0.3640,  0.6959,  0.4671,  0.5303,  0.2100,
          0.5597,  0.7029,  0.8077,  0.8724]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.3235, 0.9999, 0.4349, 0.2599, 0.4613, 0.7460, 0.4179, 0.2861, 0.2089,
        0.5414, 0.7398, 0.8762], device='cuda:0')","tensor([[ 0.2656,  1.0000, -0.1177,  0.2831,  0.6610,  0.5658,  0.3997,  0.2975,
          0.4558,  0.5447,  0.7096,  0.8181]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.4131, 0.0015, 0.3224, 0.2653, 0.4454, 0.5755, 0.3337, 0.2943, 0.2434,
        0.5959, 0.7305, 0.8932], device='cuda:0')","tensor([[ 0.4549,  0.0015, -0.2224,  0.2366,  0.4484,  0.6484,  0.3696,  0.2086,
          0.1974,  0.4904,  0.6757,  0.8230]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.1946,  0.9835, -0.0017,  0.2932,  0.5770,  0.4694,  0.6831,  0.2076,
         0.5493,  0.4556,  0.8488,  0.8613], device='cuda:0')","tensor([[ 0.2763,  1.0000, -0.0132,  0.3670,  0.7712,  0.4873,  0.3753,  0.3385,
          0.4165,  0.5393,  0.7085,  0.8039]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([ 0.2491,  1.0000, -0.0721,  0.2457,  0.5790,  0.6389,  0.4990,  0.2188,
         0.5564,  0.6235,  0.7639,  0.8950], device='cuda:0')","tensor([[0.2897, 1.0000, 0.0013, 0.2508, 0.5541, 0.4540, 0.4481, 0.2792, 0.4432,
         0.7132, 0.8104, 0.8851]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.1981, 0.9350, 0.4781, 0.3146, 0.4393, 0.5316, 0.3704, 0.2274, 0.5569,
        0.4421, 0.7010, 0.7772], device='cuda:0')","tensor([[0.2703, 1.0000, 0.0728, 0.2417, 0.5636, 0.4135, 0.5574, 0.2031, 0.4810,
         0.7612, 0.8233, 0.9109]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
"tensor([0.2192, 1.0000, 0.1029, 0.2619, 0.4468, 0.6456, 0.5430, 0.2071, 0.3457,
        0.5735, 0.7496, 0.8567], device='cuda:0')","tensor([[0.3321, 1.0000, 0.0750, 0.3893, 0.6502, 0.5452, 0.5468, 0.2008, 0.4704,
         0.6606, 0.8066, 0.8831]], device='cuda:0',
       grad_fn=<UnsqueezeBackward0>)"
