path,parameters_mse,short_latent_mse,best_of
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.009989088401198387,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.02001340501010418,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.013147580437362194,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.01220859494060278,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.02739628031849861,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.03201751410961151,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.018437238410115242,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.012968430295586586,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.010342046618461609,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.030571794137358665,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.04556041583418846,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.011178036220371723,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.00816815160214901,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.014833172783255577,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.01801552064716816,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.010357115417718887,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.01593448594212532,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.03328454867005348,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.031366150826215744,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.019792404025793076,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.014192991890013218,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.0034227443393319845,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.01645791158080101,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.007154237944632769,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.005338531453162432,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.015394815243780613,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.008056636899709702,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.021400297060608864,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.022763065993785858,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.0058915261179208755,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.01480196975171566,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.020636048167943954,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.013286235742270947,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.02662673033773899,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.00954683218151331,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.0201221015304327,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.015986807644367218,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.0280438419431448,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.020766325294971466,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.011709561571478844,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.03393787518143654,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.015095088630914688,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.01659749262034893,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.037654079496860504,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.010641283355653286,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.008382713422179222,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.025357097387313843,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.009692917577922344,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.011201639659702778,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.007478863466531038,"('-', '-')",5
/app/results/models_efficiency_tests/random_model_44_inference.wav,0.018115105107426643,"('-', '-')",5
/app/results/change_voice_tests/2/female_default_A_44(1).wav,0.024619052186608315,"('-', '-')",1
/app/results/change_voice_tests/2/female_to_male_A_44(1).wav,0.02166959084570408,"('-', '-')",1
/app/results/change_voice_tests/2/female_231_to_290_A_44(1).wav,0.026159608736634254,"('-', '-')",1
/app/results/change_voice_tests/2/female_231_to_180_A_44(1).wav,0.009643640369176865,"('-', '-')",1
/app/results/change_voice_tests/2/female_default_A_44(2).wav,0.03801928088068962,"('-', '-')",1
/app/results/change_voice_tests/2/female_to_male_A_44(2).wav,0.024806244298815727,"('-', '-')",1
/app/results/change_voice_tests/2/female_231_to_290_A_44(2).wav,0.03597421571612358,"('-', '-')",1
/app/results/change_voice_tests/2/female_231_to_180_A_44(2).wav,0.03836359083652496,"('-', '-')",1
/app/results/change_voice_tests/2/female_default_A_44(3).wav,0.022276144474744797,"('-', '-')",1
/app/results/change_voice_tests/2/female_to_male_A_44(3).wav,0.026166854426264763,"('-', '-')",1
/app/results/change_voice_tests/2/female_231_to_290_A_44(3).wav,0.015119713731110096,"('-', '-')",1
/app/results/change_voice_tests/2/female_231_to_180_A_44(3).wav,0.019005393609404564,"('-', '-')",1
/app/results/change_voice_tests/2/female_default_A_44(4).wav,0.022428447380661964,"('-', '-')",1
/app/results/change_voice_tests/2/female_to_male_A_44(4).wav,0.01690053381025791,"('-', '-')",1
/app/results/change_voice_tests/2/female_231_to_290_A_44(4).wav,0.025372199714183807,"('-', '-')",1
/app/results/change_voice_tests/2/female_231_to_180_A_44(4).wav,0.017614372074604034,"('-', '-')",1
/app/results/change_voice_tests/2/female_default_A_44_best_of_5.wav,0.017415490001440048,"('-', '-')",5
/app/results/change_voice_tests/2/female_to_male_A_44_best_of_5.wav,0.014764070510864258,"('-', '-')",5
/app/results/change_voice_tests/2/female_231_to_290_A_44_best_of_5.wav,0.020109830424189568,"('-', '-')",5
/app/results/change_voice_tests/2/female_231_to_180_A_44_best_of_5.wav,0.01295052282512188,"('-', '-')",5
/app/results/change_voice_tests/2/female_hnr_12_to_8_A_44_best_of_5.wav,0.012231295928359032,"('-', '-')",5
/app/results/change_voice_tests/2/female_hnr_12_to_15_A_44_best_of_5.wav,0.04124825447797775,"('-', '-')",5
/app/results/change_voice_tests/2/female_mean_voiced_segments_length_0_2_to_0_8_A_44_best_of_5.wav,0.045292023569345474,"('-', '-')",5
/app/results/change_voice_tests/2/female_mean_voiced_segments_length_0_2_to_0_0_5_A_44_best_of_5.wav,0.060434725135564804,"('-', '-')",5
